domain	utterance	seqlogical
reminder	Can you remind the soccer team that next weekend's game is cancelled?	[IN:CREATE_REMINDER Can you remind the [SL:PERSON_REMINDED soccer team ] that [SL:TODO [IN:GET_TODO [SL:DATE_TIME next weekend ] 's [SL:TODO game is cancelled ] ] ] ? ]
reminder	change the dentist appointment for Sam reminder to September 21	[IN:UPDATE_REMINDER_DATE_TIME change the [SL:TODO dentist appointment for Sam ] reminder [SL:DATE_TIME_NEW to September 21 ] ]
reminder	can you change the alert time on my next reminder from 7 to 8 instead?	[IN:UPDATE_REMINDER_DATE_TIME can you change the alert time on [SL:PERSON_REMINDED my ] [SL:ORDINAL next ] reminder [SL:DATE_TIME from 7 ] [SL:DATE_TIME_NEW to 8 ] instead ? ]
reminder	Remove alerts for my 6 a.m. reminder	[IN:DELETE_REMINDER Remove alerts for [SL:PERSON_REMINDED my ] [SL:DATE_TIME 6 a.m . ] reminder ]
reminder	Please show me all reminders about birthdays	[IN:GET_REMINDER Please [SL:METHOD_RETRIEVAL_REMINDER show ] [SL:PERSON_REMINDED me ] [SL:AMOUNT all ] reminders about [SL:TODO birthdays ] ]
reminder	Let me see my reminders	[IN:GET_REMINDER Let me [SL:METHOD_RETRIEVAL_REMINDER see ] [SL:PERSON_REMINDED my ] reminders ]
reminder	WHAT REMINDERS DO i HAVE FOR THE MONTH OF OCTOBER	[IN:GET_REMINDER WHAT REMINDERS DO [SL:PERSON_REMINDED i ] HAVE [SL:DATE_TIME FOR THE MONTH OF OCTOBER ] ]
reminder	I dont want to miss the online chat at 10 pm , can you remind me at 3 pm .	[IN:CREATE_REMINDER I dont want to miss [SL:TODO [IN:GET_TODO [SL:TODO the online chat ] [SL:DATE_TIME at 10 pm ] ] ] , can you remind [SL:PERSON_REMINDED me ] [SL:DATE_TIME at 3 pm ] . ]
reminder	Remove reminders for Labor Day	[IN:DELETE_REMINDER Remove reminders [SL:DATE_TIME for Labor Day ] ]
reminder	Can you remind me daily to order more paint for the store	[IN:CREATE_REMINDER Can you remind [SL:PERSON_REMINDED me ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY daily ] ] ] to [SL:TODO order more paint for the store ] ]
reminder	End my Tuesday reminder.	[IN:DELETE_REMINDER End [SL:PERSON_REMINDED my ] [SL:DATE_TIME Tuesday ] reminder . ]
reminder	Show me my reminders.	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Show ] me [SL:PERSON_REMINDED my ] reminders . ]
reminder	Update the reminder for the swim party to next Friday which is the rain date.	[IN:UPDATE_REMINDER_DATE_TIME Update the reminder for [SL:TODO the swim party ] [SL:DATE_TIME_NEW to next Friday ] which is the rain date . ]
reminder	Create a reminder to write a thank you note every Friday at 5pm.	[IN:CREATE_REMINDER Create a reminder to [SL:TODO write a thank you note ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY every Friday ] [SL:DATE_TIME at 5 pm ] ] ] . ]
reminder	Set up a reminder for my husband to take the trash out on Tuesday night (Pacific Time) because I will be traveling out of the city for that day.	[IN:CREATE_REMINDER Set up a reminder for [SL:PERSON_REMINDED [IN:GET_CONTACT [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION husband ] ] ] to [SL:TODO [IN:GET_TODO [SL:TODO take the trash out ] [SL:DATE_TIME on Tuesday night ( Pacific Time ) ] ] ] because I will be traveling out of the city for that day . ]
reminder	Delete the dinner party reminder for Sunday	[IN:DELETE_REMINDER Delete the [SL:TODO dinner party ] reminder [SL:DATE_TIME for Sunday ] ]
reminder	please get rid of the reminder for dinner tomorrow	[IN:DELETE_REMINDER please get rid of the reminder for [SL:TODO dinner ] [SL:DATE_TIME tomorrow ] ]
reminder	Add buy Maggie a birthday gift to today's reminder.	[IN:UPDATE_REMINDER_TODO Add [SL:TODO_NEW buy Maggie a birthday gift ] [SL:DATE_TIME to today ] 's reminder . ]
reminder	Please remove my reminders for shopping on next Tuesday.	[IN:DELETE_REMINDER Please remove [SL:PERSON_REMINDED my ] reminders for [SL:TODO shopping ] [SL:DATE_TIME on next Tuesday ] . ]
reminder	Display all reminders for the upcoming week	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Display ] [SL:AMOUNT all ] reminders [SL:DATE_TIME for the upcoming week ] ]
reminder	i dont want to miss the flight so please set my alert for 4 hours in advance instead of 2	[IN:UPDATE_REMINDER_DATE_TIME i dont want to miss [SL:TODO the flight ] so please set [SL:PERSON_REMINDED my ] alert [SL:DATE_TIME_NEW for 4 hours in advance ] instead [SL:DATE_TIME of 2 ] ]
reminder	Update my alert for dinner plans with the girls to tonight	[IN:UPDATE_REMINDER_DATE_TIME Update [SL:PERSON_REMINDED my ] alert for [SL:TODO dinner plans ] with [SL:ATTENDEE the girls ] [SL:DATE_TIME_NEW to tonight ] ]
reminder	Set up a reminder for my Omeprazol pills every day at 8:00 am	[IN:CREATE_REMINDER Set up a reminder for [SL:TODO my Omeprazol pills ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY every day ] [SL:DATE_TIME at 8 : 00 am ] ] ] ]
reminder	remind me to text Donna about office schedule	[IN:CREATE_REMINDER remind [SL:PERSON_REMINDED me ] to [SL:TODO [IN:SEND_MESSAGE text [SL:RECIPIENT Donna ] about [SL:CONTENT_EXACT office schedule ] ] ] ]
reminder	Remind me about dad's birthday on Tuesday instead of Thursday.	[IN:UPDATE_REMINDER_DATE_TIME Remind [SL:PERSON_REMINDED me ] about [SL:TODO dad 's birthday ] [SL:DATE_TIME_NEW on Tuesday ] instead [SL:DATE_TIME of Thursday ] . ]
reminder	delete my book club reminder	[IN:DELETE_REMINDER delete [SL:PERSON_REMINDED my ] [SL:TODO book club ] reminder ]
reminder	Remove the reminder about Saturday's house showing.	[IN:DELETE_REMINDER Remove the reminder about [SL:TODO [IN:GET_TODO [SL:DATE_TIME Saturday ] 's [SL:TODO house showing ] ] ] . ]
reminder	Show me reminders for next week.	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Show ] [SL:PERSON_REMINDED me ] reminders [SL:DATE_TIME for next week ] . ]
reminder	please remove all my reminder	[IN:DELETE_REMINDER please remove [SL:AMOUNT all ] [SL:PERSON_REMINDED my ] reminder ]
reminder	Change my trash reminder to Monday evening at 7pm.	[IN:UPDATE_REMINDER_DATE_TIME Change [SL:PERSON_REMINDED my ] [SL:TODO trash ] reminder [SL:DATE_TIME_NEW to Monday evening at 7 pm ] . ]
reminder	Show me my reminders for October.	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Show ] me [SL:PERSON_REMINDED my ] reminders [SL:DATE_TIME for October ] . ]
reminder	update lab work reminder to next monday instead of tomorrow	[IN:UPDATE_REMINDER_DATE_TIME update [SL:TODO lab work ] reminder [SL:DATE_TIME_NEW to next monday ] instead [SL:DATE_TIME of tomorrow ] ]
reminder	Show me what reminders I have set for tomorrow.	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Show ] me what reminders [SL:PERSON_REMINDED I ] have set [SL:DATE_TIME for tomorrow ] . ]
reminder	What's my next reminder this morning, and is it for my workout class?	[IN:GET_REMINDER What 's [SL:PERSON_REMINDED my ] [SL:ORDINAL next ] reminder [SL:DATE_TIME this morning ] , and is it for [SL:TODO my workout class ] ? ]
reminder	Add Mike to my reminder of people who I need to call.	[IN:UPDATE_REMINDER_TODO Add [SL:TODO_NEW Mike ] to [SL:PERSON_REMINDED my ] reminder of [SL:TODO people who I need to call ] . ]
reminder	Set a reminder for 6 PM every Sunday to make the kids lunch for the next day.	[IN:CREATE_REMINDER Set a reminder [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:DATE_TIME for 6 PM ] [SL:FREQUENCY every Sunday ] ] ] to [SL:TODO [IN:GET_TODO [SL:TODO make the kids lunch ] [SL:DATE_TIME for the next day ] ] ] . ]
reminder	Change the reminder for the football moms to August 17.	[IN:UPDATE_REMINDER_DATE_TIME Change the reminder for the [SL:PERSON_REMINDED football moms ] [SL:DATE_TIME_NEW to August 17 ] . ]
reminder	Remind me on Friday morning that two packages are supposed to arrive that day.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] [SL:DATE_TIME on Friday morning ] that [SL:TODO [IN:GET_TODO [SL:TODO two packages are supposed to arrive ] [SL:DATE_TIME that day ] ] ] . ]
reminder	When are our lunch reminders that are set for the next month.	[IN:GET_REMINDER_DATE_TIME When are [SL:PERSON_REMINDED our ] [SL:TODO lunch ] reminders that are set [SL:DATE_TIME for the next month ] . ]
reminder	Remind me to send an email to Sarah tonight.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO [IN:SEND_MESSAGE send an email to [SL:RECIPIENT Sarah ] ] ] [SL:DATE_TIME tonight ] . ]
reminder	read me all my reminders about my work	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER read ] me [SL:AMOUNT all ] [SL:PERSON_REMINDED my ] reminders about [SL:TODO my work ] ]
reminder	locate the peaches reminder and note that the market is opening late	[IN:UPDATE_REMINDER_TODO locate the [SL:TODO peaches ] reminder and note that [SL:TODO_NEW the market is opening late ] ]
reminder	Show me weekend reminders for family.	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Show ] [SL:PERSON_REMINDED me ] [SL:DATE_TIME weekend ] reminders for [SL:TODO family ] . ]
reminder	Delete all the hiking group reminders.	[IN:DELETE_REMINDER Delete [SL:AMOUNT all ] the [SL:TODO hiking group ] reminders . ]
reminder	can you delete all of my reminders for mondays please	[IN:DELETE_REMINDER can you delete [SL:AMOUNT all ] of [SL:PERSON_REMINDED my ] reminders [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:DATE_TIME for mondays ] ] ] please ]
reminder	Change my Intro to math schedule reminder to Tuesdays at 6pm	[IN:UPDATE_REMINDER Change [SL:PERSON_REMINDED my ] [SL:TODO Intro to math schedule ] reminder [SL:RECURRING_DATE_TIME_NEW [IN:GET_RECURRING_DATE_TIME [SL:DATE_TIME to Tuesdays at 6 pm ] ] ] ]
reminder	Update the reminder to text Bill at 2 PM to say that I should text Billy instead.	[IN:UPDATE_REMINDER_TODO Update the reminder to [SL:TODO [IN:SEND_MESSAGE text [SL:RECIPIENT Bill ] ] ] [SL:DATE_TIME at 2 PM ] to say that [SL:PERSON_REMINDED I ] should [SL:TODO_NEW [IN:SEND_MESSAGE text [SL:RECIPIENT Billy ] ] ] instead . ]
reminder	Show all my doctor appointment reminders.	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Show ] [SL:AMOUNT all ] [SL:PERSON_REMINDED my ] [SL:TODO doctor appointment ] reminders . ]
reminder	when is my next reminder for	[IN:GET_REMINDER_DATE_TIME when is [SL:PERSON_REMINDED my ] [SL:ORDINAL next ] reminder for ]
reminder	How many meeting reminders do I have set for next week?	[IN:GET_REMINDER_AMOUNT How many [SL:TODO meeting ] reminders do [SL:PERSON_REMINDED I ] have set [SL:DATE_TIME for next week ] ? ]
reminder	What are all my email reminders for this upcoming week?	[IN:GET_REMINDER What are [SL:AMOUNT all ] [SL:PERSON_REMINDED my ] [SL:TODO [IN:SEND_MESSAGE email ] ] reminders [SL:DATE_TIME for this upcoming week ] ? ]
reminder	Remove the alert on Meeting with Debbie	[IN:DELETE_REMINDER Remove the alert on [SL:TODO [IN:GET_TODO [SL:TODO Meeting ] with [SL:ATTENDEE Debbie ] ] ] ]
reminder	When is the reminder I set for attending the wedding?	[IN:GET_REMINDER_DATE_TIME When is the reminder [SL:PERSON_REMINDED I ] set for [SL:TODO attending the wedding ] ? ]
reminder	add to my reminder for an oil change to rotate the tires	[IN:UPDATE_REMINDER_TODO add to [SL:PERSON_REMINDED my ] reminder for [SL:TODO an oil change ] to [SL:TODO_NEW rotate the tires ] ]
reminder	what is my last reminder of Monday?	[IN:GET_REMINDER what is [SL:PERSON_REMINDED my ] [SL:ORDINAL last ] reminder [SL:DATE_TIME of Monday ] ? ]
reminder	Show me where my lunch reminder is for ..	[IN:GET_REMINDER_LOCATION [SL:METHOD_RETRIEVAL_REMINDER Show ] me where [SL:PERSON_REMINDED my ] [SL:TODO lunch ] reminder is for . . ]
reminder	cancel reminder for emailing john	[IN:DELETE_REMINDER cancel reminder for [SL:TODO [IN:SEND_MESSAGE emailing [SL:RECIPIENT john ] ] ] ]
reminder	Change the reminder to mow the yard from Saturday to weekly on Wednesdays.	[IN:UPDATE_REMINDER Change the reminder to [SL:TODO mow the yard ] [SL:DATE_TIME from Saturday ] [SL:RECURRING_DATE_TIME_NEW [IN:GET_RECURRING_DATE_TIME to [SL:FREQUENCY weekly ] [SL:DATE_TIME on Wednesdays ] ] ] . ]
reminder	I forgot; what time is my dinner reminder tonight?	[IN:GET_REMINDER_DATE_TIME I forgot ; what time is [SL:PERSON_REMINDED my ] [SL:TODO dinner ] reminder [SL:DATE_TIME tonight ] ? ]
reminder	delete the reminder to go car shopping with john the day after tomorrow	[IN:DELETE_REMINDER delete the reminder to [SL:TODO [IN:GET_TODO [SL:TODO go car shopping ] with [SL:ATTENDEE john ] ] ] [SL:DATE_TIME the day after tomorrow ] ]
reminder	Revise the reminder to pay the rent to the 27th of every month.	[IN:UPDATE_REMINDER Revise the reminder to [SL:TODO pay the rent ] [SL:RECURRING_DATE_TIME_NEW [IN:GET_RECURRING_DATE_TIME [SL:DATE_TIME to the 27th ] of [SL:FREQUENCY every month ] ] ] . ]
reminder	When is my next quarterly report reminder	[IN:GET_REMINDER_DATE_TIME When is [SL:PERSON_REMINDED my ] [SL:ORDINAL next ] [SL:TODO quarterly report ] reminder ]
reminder	Remind me to text Sally at 3 to bring a dessert.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO [IN:GET_TODO [SL:TODO [IN:SEND_MESSAGE text [SL:RECIPIENT Sally ] ] ] [SL:DATE_TIME at 3 ] to [SL:TODO bring a dessert ] ] ] . ]
reminder	When is my reminder about my parent's visiting?	[IN:GET_REMINDER_DATE_TIME When is [SL:PERSON_REMINDED my ] reminder about [SL:TODO my parent 's visiting ] ? ]
reminder	I had a reminder for an appt with dr watson, cancel it	[IN:DELETE_REMINDER [SL:PERSON_REMINDED I ] had a reminder for [SL:TODO [IN:GET_TODO [SL:TODO an appt ] with [SL:ATTENDEE dr watson ] ] ] , cancel it ]
reminder	Do you have a reminder for my next hair appointment?	[IN:GET_REMINDER Do you have a reminder for [SL:PERSON_REMINDED my ] [SL:ORDINAL next ] [SL:TODO hair appointment ] ? ]
reminder	What is my next reminder for work this week?	[IN:GET_REMINDER What is [SL:PERSON_REMINDED my ] [SL:ORDINAL next ] reminder for [SL:TODO work ] [SL:DATE_TIME this week ] ? ]
reminder	Submit marketing proposal tomorrow before meeting with Sarah reminder	[IN:CREATE_REMINDER [SL:TODO [IN:GET_TODO [SL:TODO Submit marketing proposal ] [SL:DATE_TIME tomorrow ] [SL:TODO before meeting ] with [SL:ATTENDEE Sarah ] ] ] reminder ]
reminder	Change trash reminder from Wednesday to mondays	[IN:UPDATE_REMINDER Change [SL:TODO trash ] reminder [SL:DATE_TIME from Wednesday ] [SL:RECURRING_DATE_TIME_NEW [IN:GET_RECURRING_DATE_TIME [SL:DATE_TIME to mondays ] ] ] ]
reminder	Remind Dad that his appointment is Friday at 4:30.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED [IN:GET_CONTACT [SL:TYPE_RELATION Dad ] ] ] that [SL:TODO his appointment is ] [SL:DATE_TIME Friday at 4 : 30 ] . ]
reminder	Delete the reminder to meet with my dad on Sunday.	[IN:DELETE_REMINDER Delete the reminder to [SL:TODO [IN:GET_TODO [SL:TODO meet ] with [SL:ATTENDEE [IN:GET_CONTACT [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION dad ] ] ] ] ] [SL:DATE_TIME on Sunday ] . ]
reminder	Remind me to reply to Vickie that I can meet with her on Monday	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO [IN:REPLY_MESSAGE reply to [SL:RECIPIENT Vickie ] that [SL:CONTENT_EXACT I can meet with her on Monday ] ] ] ]
reminder	Remind me to schedule an appointment with the doctor tomorrow	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO [IN:GET_TODO [SL:TODO schedule an appointment ] with [SL:ATTENDEE the doctor ] ] ] [SL:DATE_TIME tomorrow ] ]
reminder	Remind me to text Jessica tonight	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO [IN:SEND_MESSAGE text [SL:RECIPIENT Jessica ] ] ] [SL:DATE_TIME tonight ] ]
reminder	Change reminder for sales	[IN:UPDATE_REMINDER Change reminder for [SL:TODO sales ] ]
reminder	Remind me tonight to confirm tennis with Jill, Rocky, and Ron on Thursday	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] [SL:DATE_TIME tonight ] to [SL:TODO [IN:GET_TODO [SL:TODO confirm tennis ] with [SL:ATTENDEE Jill ] , [SL:ATTENDEE Rocky ] , and [SL:ATTENDEE Ron ] [SL:DATE_TIME on Thursday ] ] ] ]
reminder	Can you remind my sons to wish their grandpa a happy birthday on September 10th?	[IN:CREATE_REMINDER Can you remind [SL:PERSON_REMINDED [IN:GET_CONTACT [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION sons ] ] ] to [SL:TODO wish their grandpa a happy birthday ] [SL:DATE_TIME on September 10th ] ? ]
reminder	how can i remove all reminders about my ex boyfriend	[IN:HELP_REMINDER how can i remove all reminders about my ex boyfriend ]
reminder	Remind me to text my dad about his car's repair.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO [IN:SEND_MESSAGE text [SL:RECIPIENT [IN:GET_CONTACT [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION dad ] ] ] about [SL:CONTENT_EXACT his car 's repair ] ] ] . ]
reminder	Show me where my conference meeting reminder is being held.	[IN:GET_REMINDER_LOCATION [SL:METHOD_RETRIEVAL_REMINDER Show ] me where [SL:PERSON_REMINDED my ] [SL:TODO conference meeting ] reminder is being held . ]
reminder	What is the next reminder I have coming up?	[IN:GET_REMINDER What is the [SL:ORDINAL next ] reminder [SL:PERSON_REMINDED I ] have coming up ? ]
reminder	when is my next party reminder	[IN:GET_REMINDER_DATE_TIME when is [SL:PERSON_REMINDED my ] [SL:ORDINAL next ] [SL:TODO party ] reminder ]
reminder	set up reminders to send emails  for sue's retirement party the 12th	[IN:CREATE_REMINDER set up reminders to [SL:TODO [IN:SEND_MESSAGE send emails for [SL:CONTENT_EXACT [IN:GET_EVENT [SL:ORGANIZER_EVENT sue ] 's [SL:CATEGORY_EVENT retirement party ] ] ] ] ] [SL:DATE_TIME the 12th ] ]
reminder	Add Larry to the reminder for meeting the guys on Sunday.	[IN:UPDATE_REMINDER Add [SL:PERSON_REMINDED_ADDED Larry ] to the reminder for [SL:TODO meeting the guys ] [SL:DATE_TIME on Sunday ] . ]
reminder	please update my daily reminder to be weekly	[IN:UPDATE_REMINDER please update [SL:PERSON_REMINDED my ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY daily ] ] ] reminder to be [SL:RECURRING_DATE_TIME_NEW [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY weekly ] ] ] ]
reminder	Change the reminder for a 6:30 a.m. wake-up.	[IN:UPDATE_REMINDER Change the reminder for a [SL:DATE_TIME 6 : 30 a.m . ] [SL:TODO wake - up ] . ]
reminder	when is my next reminder for art class	[IN:GET_REMINDER_DATE_TIME when is [SL:PERSON_REMINDED my ] [SL:ORDINAL next ] reminder for [SL:TODO art class ] ]
reminder	Remind me to text Jenna about the potluck list on Saturday.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO [IN:SEND_MESSAGE text [SL:RECIPIENT Jenna ] about [SL:CONTENT_EXACT the potluck list ] ] ] [SL:DATE_TIME on Saturday ] . ]
reminder	what time is this week's lunch reminders?	[IN:GET_REMINDER_DATE_TIME what time is [SL:DATE_TIME this week ] 's [SL:TODO lunch ] reminders ? ]
reminder	Remind me to text Christen, Hannah, Kaitlin, and James about dinner on Wednesday.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO [IN:SEND_MESSAGE text [SL:RECIPIENT Christen ] , [SL:RECIPIENT Hannah ] , [SL:RECIPIENT Kaitlin ] , and [SL:RECIPIENT James ] about [SL:CONTENT_EXACT [IN:GET_EVENT [SL:CATEGORY_EVENT dinner ] ] ] ] ] [SL:DATE_TIME on Wednesday ] . ]
reminder	Where is the location of the reminder about brunch with mom on Sunday?	[IN:GET_REMINDER_LOCATION Where is the location of the reminder about [SL:TODO [IN:GET_TODO [SL:TODO brunch ] with [SL:ATTENDEE [IN:GET_CONTACT [SL:TYPE_RELATION mom ] ] ] ] ] [SL:DATE_TIME on Sunday ] ? ]
reminder	Show me how to make a reminder for the first week of each month of the year	[IN:HELP_REMINDER Show me how to make a reminder for the first week of each month of the year ]
reminder	what time is my next reminder set for	[IN:GET_REMINDER_DATE_TIME what time is [SL:PERSON_REMINDED my ] [SL:ORDINAL next ] reminder set for ]
reminder	Show me how to cancel reminders manually.	[IN:HELP_REMINDER Show me how to cancel reminders manually . ]
reminder	How many reminders do I have for Carl?	[IN:GET_REMINDER_AMOUNT How many reminders do [SL:PERSON_REMINDED I ] have for [SL:TODO Carl ] ? ]
reminder	Please change Work Trainings reminder from daily to weekly.	[IN:UPDATE_REMINDER Please change [SL:TODO Work Trainings ] reminder [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME from [SL:FREQUENCY daily ] ] ] [SL:RECURRING_DATE_TIME_NEW [IN:GET_RECURRING_DATE_TIME to [SL:FREQUENCY weekly ] ] ] . ]
reminder	where and what time does the dinner reminder say for tonight	[IN:GET_REMINDER_LOCATION where and what time does the [SL:TODO dinner ] reminder say [SL:DATE_TIME for tonight ] ]
reminder	how many reminders do i have set over the weekend?	[IN:GET_REMINDER_AMOUNT how many reminders do [SL:PERSON_REMINDED i ] have set [SL:DATE_TIME over the weekend ] ? ]
reminder	How many reminders do I have?	[IN:GET_REMINDER_AMOUNT How many reminders do [SL:PERSON_REMINDED I ] have ? ]
