domain	utterance	seqlogical
reminder	Set a reminder to email my coworkers by tonight.	[IN:CREATE_REMINDER Set a reminder to [SL:TODO [IN:SEND_MESSAGE email [SL:RECIPIENT [IN:GET_CONTACT [SL:CONTACT_RELATED my ] [SL:MUTUAL_EMPLOYER coworkers ] ] ] ] ] [SL:DATE_TIME by tonight ] . ]
reminder	Please delete the reminder to pick up half and half.	[IN:DELETE_REMINDER Please delete the reminder to [SL:TODO pick up half and half ] . ]
reminder	Remove my Pinterest reminder.	[IN:DELETE_REMINDER Remove [SL:PERSON_REMINDED my ] [SL:TODO Pinterest ] reminder . ]
reminder	Remind me to pick up Miya at 3:30 all next week	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO pick up Miya ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:DATE_TIME at 3 : 30 ] [SL:FREQUENCY all next week ] ] ] ]
reminder	Adjust the time to 3:00 pm on my next reminder	[IN:UPDATE_REMINDER_DATE_TIME Adjust the time [SL:DATE_TIME_NEW to 3 : 00 pm ] on [SL:PERSON_REMINDED my ] [SL:ORDINAL next ] reminder ]
reminder	Check reminders for meeting on Friday	[IN:GET_REMINDER Check reminders for [SL:TODO meeting ] [SL:DATE_TIME on Friday ] ]
reminder	Remind me to buy garbage bags	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO buy garbage bags ] ]
reminder	Remove a reminder please.	[IN:DELETE_REMINDER Remove a reminder please . ]
reminder	Remove reminder to visit the dentist.	[IN:DELETE_REMINDER Remove reminder to [SL:TODO visit the dentist ] . ]
reminder	Can you remind me to drink water every 2 hours from 10am until 10 pm?	[IN:CREATE_REMINDER Can you remind [SL:PERSON_REMINDED me ] to [SL:TODO drink water ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY every 2 hours ] [SL:DATE_TIME from 10 am until 10 pm ] ] ] ? ]
reminder	Delete buy dog food reminder.	[IN:DELETE_REMINDER Delete [SL:TODO buy dog food ] reminder . ]
reminder	cancel all upcoming reminders	[IN:DELETE_REMINDER cancel [SL:AMOUNT all ] upcoming reminders ]
reminder	Cancel the vitamin reminder	[IN:DELETE_REMINDER Cancel the [SL:TODO vitamin ] reminder ]
reminder	Delete the nap reminder	[IN:DELETE_REMINDER Delete the [SL:TODO nap ] reminder ]
reminder	Show me the seminar reminders in Central Standard Time instead of EST	[IN:UPDATE_REMINDER_DATE_TIME Show [SL:PERSON_REMINDED me ] the [SL:TODO seminar ] reminders [SL:DATE_TIME_NEW in Central Standard Time ] instead [SL:DATE_TIME of EST ] ]
reminder	Please display our reminders for Sunday School.	[IN:GET_REMINDER Please [SL:METHOD_RETRIEVAL_REMINDER display ] [SL:PERSON_REMINDED our ] reminders for [SL:TODO Sunday School ] . ]
reminder	remind me to pick up cake for party on my way home	[IN:CREATE_REMINDER remind [SL:PERSON_REMINDED me ] to [SL:TODO pick up cake for party on my way home ] ]
reminder	Delete the reminder about tax free weekend	[IN:DELETE_REMINDER Delete the reminder about [SL:TODO tax free ] [SL:DATE_TIME weekend ] ]
reminder	The schedule for cleaning the office break room reminder needs to be changed to monthly instead of weekly	[IN:UPDATE_REMINDER The schedule for [SL:TODO cleaning the office break room ] reminder needs to be changed [SL:RECURRING_DATE_TIME_NEW [IN:GET_RECURRING_DATE_TIME to [SL:FREQUENCY monthly ] ] ] instead [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME of [SL:FREQUENCY weekly ] ] ] ]
reminder	Show all active reminders	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Show ] [SL:AMOUNT all ] active reminders ]
reminder	Remind the book club that we will not be meeting this morning.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED the book club ] that [SL:TODO we will not be meeting ] [SL:DATE_TIME this morning ] . ]
reminder	Set monthly reminders for me that i have to check my bank account	[IN:CREATE_REMINDER Set [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY monthly ] ] ] reminders for [SL:PERSON_REMINDED me ] that i have to [SL:TODO check my bank account ] ]
reminder	cancel all the reminders	[IN:DELETE_REMINDER cancel [SL:AMOUNT all ] the reminders ]
reminder	Remind me to start the dishwasher at 9 pm.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO start the dishwasher ] [SL:DATE_TIME at 9 pm ] . ]
reminder	Remind me to add sushi rice to the grocery list.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO add sushi rice to the grocery list ] . ]
reminder	What reminders does my husband Mark have for this month	[IN:GET_REMINDER What reminders does [SL:PERSON_REMINDED [IN:GET_CONTACT [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION husband ] [SL:CONTACT Mark ] ] ] have [SL:DATE_TIME for this month ] ]
reminder	Remove the reminder for Tonya's dinner party.	[IN:DELETE_REMINDER Remove the reminder for [SL:TODO Tonya 's dinner party ] . ]
reminder	set a reminder: exam at 5pm today	[IN:CREATE_REMINDER set a reminder : [SL:TODO exam ] [SL:DATE_TIME at 5 pm today ] ]
reminder	Remind me to fix the door today.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO fix the door ] [SL:DATE_TIME today ] . ]
reminder	remind me to finish assignment by 10pm and turn in online	[IN:CREATE_REMINDER remind [SL:PERSON_REMINDED me ] to [SL:TODO [IN:GET_TODO [SL:TODO finish assignment ] [SL:DATE_TIME by 10 pm ] and [SL:TODO turn in online ] ] ] ]
reminder	What reminders for school do I have?	[IN:GET_REMINDER What reminders for [SL:TODO school ] do [SL:PERSON_REMINDED I ] have ? ]
reminder	remind me to check into my flight on tuesday night at 8om	[IN:CREATE_REMINDER remind [SL:PERSON_REMINDED me ] to [SL:TODO check into my flight ] [SL:DATE_TIME on tuesday night at 8om ] ]
reminder	Can you make sure I get a reminder to take my meds daily at 10 am?	[IN:CREATE_REMINDER Can you make sure [SL:PERSON_REMINDED I ] get a reminder to [SL:TODO take my meds ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY daily ] [SL:DATE_TIME at 10 am ] ] ] ? ]
reminder	Set up a weekly reminder to email the team about the manager on duty every Monday morning.	[IN:CREATE_REMINDER Set up a [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY weekly ] ] ] reminder to [SL:TODO [IN:GET_TODO [SL:TODO [IN:SEND_MESSAGE email [SL:RECIPIENT the team ] about [SL:CONTENT_EXACT the manager on duty ] ] ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY every Monday ] [SL:DATE_TIME morning ] ] ] ] ] . ]
reminder	Remind me to water the plants each Monday.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO water the plants ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY each Monday ] ] ] . ]
reminder	Remind me daily to check the mail at 7 pm	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY daily ] ] ] to [SL:TODO [IN:GET_TODO [SL:TODO check the mail ] [SL:DATE_TIME at 7 pm ] ] ] ]
reminder	Remind me to send raf a text about the plans for Insta this week	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO [IN:SEND_MESSAGE send [SL:RECIPIENT raf ] a text about [SL:CONTENT_EXACT the plans for Insta ] ] ] [SL:DATE_TIME this week ] ]
reminder	delete all reminders about upcoming basketball games	[IN:DELETE_REMINDER delete [SL:AMOUNT all ] reminders about [SL:TODO upcoming basketball games ] ]
reminder	Remind me to take the chicken out of the oven in 10 minutes.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO take the chicken out of the oven ] [SL:DATE_TIME in 10 minutes ] . ]
reminder	Remind me 2 hours before my flight	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] [SL:DATE_TIME 2 hours before ] [SL:TODO my flight ] ]
reminder	Remind me to text Linda tomorrow morning  at 9 am  about the meal plan	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO [IN:GET_TODO [SL:TODO [IN:SEND_MESSAGE text [SL:RECIPIENT Linda ] ] ] [SL:DATE_TIME tomorrow morning at 9 am ] [SL:TODO about the meal plan ] ] ] ]
reminder	Show me the earliest family meeting reunion reminder.	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Show ] [SL:PERSON_REMINDED me ] the [SL:DATE_TIME earliest ] [SL:TODO family meeting reunion ] reminder . ]
reminder	Read my afternoon reminders.	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Read ] [SL:PERSON_REMINDED my ] [SL:DATE_TIME afternoon ] reminders . ]
reminder	What time is my work alert on Monday?	[IN:GET_REMINDER What time is [SL:PERSON_REMINDED my ] [SL:TODO work ] alert [SL:DATE_TIME on Monday ] ? ]
reminder	Can you remind me to bring an appetizer to Alan's party on Saturday night?	[IN:CREATE_REMINDER Can you remind [SL:PERSON_REMINDED me ] to [SL:TODO bring an appetizer to Alan 's party ] [SL:DATE_TIME on Saturday night ] ? ]
reminder	delete my reminder to pick up dry cleaning on tuesday	[IN:DELETE_REMINDER delete [SL:PERSON_REMINDED my ] reminder to [SL:TODO pick up dry cleaning ] [SL:DATE_TIME on tuesday ] ]
reminder	move reminder to friday	[IN:UPDATE_REMINDER_DATE_TIME move reminder [SL:DATE_TIME_NEW to friday ] ]
reminder	Set an alert for me to go and pick up the catering order at 11:45pm	[IN:CREATE_REMINDER Set an alert for [SL:PERSON_REMINDED me ] to [SL:TODO go and pick up the catering order ] [SL:DATE_TIME at 11 : 45 pm ] ]
reminder	do i have any medical appointments reminders	[IN:GET_REMINDER do [SL:PERSON_REMINDED i ] have any [SL:TODO medical appointments ] reminders ]
reminder	Set a reminder in 2 hours to check the weather before leaving the house	[IN:CREATE_REMINDER Set a reminder [SL:DATE_TIME in 2 hours ] to [SL:TODO check the weather before leaving the house ] ]
reminder	Remind me to pay phone bill before 11:30 tonight.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO pay phone bill ] [SL:DATE_TIME before 11 : 30 tonight ] . ]
reminder	Remind me of my dentist appointment next Tuesday at 8 AM	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] of [SL:TODO my dentist appointment ] [SL:DATE_TIME next Tuesday at 8 AM ] ]
reminder	remind me to put the laundry in the dryer in an hour	[IN:CREATE_REMINDER remind [SL:PERSON_REMINDED me ] to [SL:TODO put the laundry in the dryer ] [SL:DATE_TIME in an hour ] ]
reminder	Remove all reminders for calculus class since I dropped it.	[IN:DELETE_REMINDER Remove [SL:AMOUNT all ] reminders for [SL:TODO calculus class ] since [SL:PERSON_REMINDED I ] dropped it . ]
reminder	Cancel Friday's payday reminder	[IN:DELETE_REMINDER Cancel [SL:DATE_TIME Friday ] 's [SL:TODO payday ] reminder ]
reminder	show me all the reminders that I have set for this weekend	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER show ] me [SL:AMOUNT all ] the reminders that [SL:PERSON_REMINDED I ] have set [SL:DATE_TIME for this weekend ] ]
reminder	how much time do I have until reminder with wedding coordinator	[IN:GET_REMINDER_DATE_TIME how much time do [SL:PERSON_REMINDED I ] have until reminder [SL:TODO [IN:GET_TODO with [SL:ATTENDEE wedding coordinator ] ] ] ]
reminder	alert me 10 min before to turn on the tv for my show at 10pm	[IN:CREATE_REMINDER alert [SL:PERSON_REMINDED me ] [SL:DATE_TIME 10 min before ] to [SL:TODO [IN:GET_TODO [SL:TODO turn on the tv for my show ] [SL:DATE_TIME at 10 pm ] ] ] ]
reminder	Remind me to send Eric an email about the presentation Monday.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO [IN:SEND_MESSAGE send [SL:RECIPIENT Eric ] an email about [SL:CONTENT_EXACT the presentation ] ] ] [SL:DATE_TIME Monday ] . ]
reminder	Remind me	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] ]
reminder	I need to erase this Friday's reminder for dinner with my sister	[IN:DELETE_REMINDER I need to erase [SL:DATE_TIME this Friday ] 's reminder for [SL:TODO [IN:GET_TODO [SL:TODO dinner ] with [SL:ATTENDEE [IN:GET_CONTACT [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION sister ] ] ] ] ] ]
reminder	Remind me to take my medicine at 10 pm every night.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO take my medicine ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:DATE_TIME at 10 pm ] [SL:FREQUENCY every night ] ] ] . ]
reminder	Move the reminder for the kids' annual physicals to this coming Monday.	[IN:UPDATE_REMINDER_DATE_TIME Move the reminder for [SL:TODO the kids ' annual physicals ] [SL:DATE_TIME_NEW to this coming Monday ] . ]
reminder	What day do I have a reminder to go to yoga class?	[IN:GET_REMINDER_DATE_TIME What day do [SL:PERSON_REMINDED I ] have a reminder to [SL:TODO go to yoga class ] ? ]
reminder	delete all reminders for next week	[IN:DELETE_REMINDER delete [SL:AMOUNT all ] reminders [SL:DATE_TIME for next week ] ]
reminder	Remind me to brush my teeth	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO brush my teeth ] ]
reminder	Create reminder to set alarm at 7:30pm	[IN:CREATE_REMINDER Create reminder to [SL:TODO set alarm ] [SL:DATE_TIME at 7 : 30 pm ] ]
reminder	i want to see all my reminders for september	[IN:GET_REMINDER i want to see [SL:AMOUNT all ] [SL:PERSON_REMINDED my ] reminders [SL:DATE_TIME for september ] ]
reminder	Remind me to pre purchase the Mud Factor tickets for Saturday the 8th.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO pre purchase the Mud Factor tickets ] [SL:DATE_TIME for Saturday the 8th ] . ]
reminder	Remind me to sign papers at the job at 2:00pm	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO sign papers at the job ] [SL:DATE_TIME at 2 : 00 pm ] ]
reminder	Can you remind me to clean the pool this Sunday afternoon	[IN:CREATE_REMINDER Can you remind [SL:PERSON_REMINDED me ] to [SL:TODO clean the pool ] [SL:DATE_TIME this Sunday afternoon ] ]
reminder	Remind me to schedule my hair appointment tomorrow for Friday at 9AM	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO schedule my hair appointment ] [SL:DATE_TIME tomorrow for Friday at 9 AM ] ]
reminder	Do I have any reminders for my dog, Coby?	[IN:GET_REMINDER Do [SL:PERSON_REMINDED I ] have any reminders for [SL:TODO my dog , Coby ] ? ]
reminder	what are my reminders for tomorrow night	[IN:GET_REMINDER what are [SL:PERSON_REMINDED my ] reminders [SL:DATE_TIME for tomorrow night ] ]
reminder	add soccer to the kids activities reminder	[IN:UPDATE_REMINDER_TODO add [SL:TODO_NEW soccer ] to the [SL:TODO kids activities ] reminder ]
reminder	Remind me in one hour.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] [SL:DATE_TIME in one hour ] . ]
reminder	Remind me to create a list of items i need for the Ana's party.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO create a list of items i need for the Ana 's party ] . ]
reminder	Set up a monthly reminder to give the dog her medicine on the first of every month.	[IN:CREATE_REMINDER Set up a [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY monthly ] ] ] reminder to [SL:TODO [IN:GET_TODO [SL:TODO give the dog her medicine ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:DATE_TIME on the first ] of [SL:FREQUENCY every month ] ] ] ] ] . ]
reminder	Remind me to take the beef out of the freezer in the morning	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO take the beef out of the freezer ] [SL:DATE_TIME in the morning ] ]
reminder	Please delete reminder of party for next friday	[IN:DELETE_REMINDER Please delete reminder of [SL:TODO party ] [SL:DATE_TIME for next friday ] ]
reminder	Remind the flag football team about practice at 5 pm Thursday.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED the flag football team ] about [SL:TODO practice ] [SL:DATE_TIME at 5 pm Thursday ] . ]
reminder	remind me to email my social media manager to schedule the videos for prelaunch	[IN:CREATE_REMINDER remind [SL:PERSON_REMINDED me ] to [SL:TODO [IN:SEND_MESSAGE email [SL:RECIPIENT my social media manager ] to [SL:CONTENT_EXACT schedule the videos for prelaunch ] ] ] ]
reminder	remind john that his dinner is served	[IN:CREATE_REMINDER remind [SL:PERSON_REMINDED john ] that [SL:TODO his dinner is served ] ]
reminder	Set a reminder for my son's tryouts at 3 pm	[IN:CREATE_REMINDER Set a reminder for [SL:TODO my son 's tryouts ] [SL:DATE_TIME at 3 pm ] ]
reminder	Please show me all my reminders for next week	[IN:GET_REMINDER Please [SL:METHOD_RETRIEVAL_REMINDER show ] me [SL:AMOUNT all ] [SL:PERSON_REMINDED my ] reminders [SL:DATE_TIME for next week ] ]
reminder	Remind me to cancel all the survey reminders	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO cancel all the survey reminders ] ]
reminder	Remind me to cancel pageant practice for Next Sunday	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO cancel pageant practice ] [SL:DATE_TIME for Next Sunday ] ]
reminder	remove reminder to return office equipment wednesday	[IN:DELETE_REMINDER remove reminder to [SL:TODO return office equipment ] [SL:DATE_TIME wednesday ] ]
reminder	Remind me to make jam Thursday at 8:00am.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO make jam ] [SL:DATE_TIME Thursday at 8 : 00 am ] . ]
reminder	can you remind me on saturday instead of Monday?	[IN:UPDATE_REMINDER_DATE_TIME can you remind [SL:PERSON_REMINDED me ] [SL:DATE_TIME_NEW on saturday ] instead [SL:DATE_TIME of Monday ] ? ]
reminder	I have a meeting today, remind me 45 minutes.	[IN:CREATE_REMINDER I have [SL:TODO [IN:GET_TODO [SL:TODO a meeting ] [SL:DATE_TIME today ] ] ] , remind [SL:PERSON_REMINDED me ] [SL:DATE_TIME 45 minutes ] . ]
reminder	Add eggs and butter to my grocery reminder list.	[IN:UPDATE_REMINDER_TODO Add [SL:TODO_NEW eggs and butter ] to [SL:PERSON_REMINDED my ] [SL:TODO grocery ] reminder list . ]
reminder	Remind me to watch my sister	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO watch my sister ] ]
reminder	Set a reminder 2 hours before my 9 pm date.	[IN:CREATE_REMINDER Set a reminder [SL:TODO 2 hours before ] [SL:TODO [IN:GET_TODO my [SL:DATE_TIME 9 pm ] [SL:TODO date ] ] ] . ]
reminder	Please alert me to leave 15 mins earlier on Sunday.	[IN:CREATE_REMINDER Please alert [SL:PERSON_REMINDED me ] to [SL:TODO leave 15 mins earlier ] [SL:DATE_TIME on Sunday ] . ]
reminder	remind me to pick up flower for sherry friday	[IN:CREATE_REMINDER remind [SL:PERSON_REMINDED me ] to [SL:TODO pick up flower for sherry ] [SL:DATE_TIME friday ] ]
reminder	When I'm scheduled to meet with my Mom, can you remind me the day before	[IN:CREATE_REMINDER When I'm scheduled to [SL:TODO [IN:GET_TODO [SL:TODO meet ] with [SL:ATTENDEE [IN:GET_CONTACT [SL:CONTACT_RELATED my ] [SL:TYPE_RELATION Mom ] ] ] ] ] , can you remind [SL:PERSON_REMINDED me ] [SL:DATE_TIME the day before ] ]
reminder	Set a reminder for dermatologist appointment on Wednesday.	[IN:CREATE_REMINDER Set a reminder for [SL:TODO dermatologist appointment ] [SL:DATE_TIME on Wednesday ] . ]
reminder	please set up a monthly reminder to pay my rent on the 1st of each month	[IN:CREATE_REMINDER please set up a [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY monthly ] ] ] reminder to [SL:TODO [IN:GET_TODO [SL:TODO pay my rent ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:DATE_TIME on the 1st ] of [SL:FREQUENCY each month ] ] ] ] ] ]
reminder	Show me the next reminder.	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER Show ] [SL:PERSON_REMINDED me ] the [SL:ORDINAL next ] reminder . ]
reminder	Remind me the 7th to submit VPK	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] [SL:DATE_TIME the 7th ] to [SL:TODO submit VPK ] ]
reminder	Remind me to meet my doctor this weekend.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO meet my doctor ] [SL:DATE_TIME this weekend ] . ]
reminder	Where is my book club reminder with Tom?	[IN:GET_REMINDER_LOCATION Where is [SL:PERSON_REMINDED my ] [SL:TODO book club ] reminder [SL:TODO [IN:GET_TODO with [SL:ATTENDEE Tom ] ] ] ? ]
reminder	Remind me to trim all trees before it freezes this year.	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] to [SL:TODO trim all trees before it freezes ] [SL:DATE_TIME this year ] . ]
reminder	how many different breakfast reminders do i have this week?	[IN:GET_REMINDER_AMOUNT how many different [SL:TODO breakfast ] reminders do [SL:PERSON_REMINDED i ] have [SL:DATE_TIME this week ] ? ]
reminder	Set up an alert to water the plants weekly on Mondays	[IN:CREATE_REMINDER Set up an alert to [SL:TODO water the plants ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY weekly ] [SL:DATE_TIME on Mondays ] ] ] ]
reminder	I have to pick up my daughter every Tuesday at 3pm. Remind me to leave 45 minutes prior.	[IN:CREATE_REMINDER I have to [SL:TODO [IN:GET_TODO [SL:TODO pick up my daughter ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY every ] [SL:DATE_TIME Tuesday at 3 pm ] ] ] ] ] . Remind [SL:PERSON_REMINDED me ] to [SL:TODO leave ] [SL:DATE_TIME 45 minutes prior ] . ]
reminder	Remind me my flight is Wednesday at 5	[IN:CREATE_REMINDER Remind [SL:PERSON_REMINDED me ] [SL:TODO my flight is ] [SL:DATE_TIME Wednesday at 5 ] ]
reminder	When are my reminders for Thursday?	[IN:GET_REMINDER_DATE_TIME When are [SL:PERSON_REMINDED my ] reminders [SL:DATE_TIME for Thursday ] ? ]
reminder	remind me to reply to susan	[IN:CREATE_REMINDER remind [SL:PERSON_REMINDED me ] to [SL:TODO [IN:REPLY_MESSAGE reply to [SL:RECIPIENT susan ] ] ] ]
reminder	show my reminder twice	[IN:GET_REMINDER [SL:METHOD_RETRIEVAL_REMINDER show ] [SL:PERSON_REMINDED my ] reminder [SL:AMOUNT twice ] ]
reminder	Delete all reminders for the month of September.	[IN:DELETE_REMINDER Delete [SL:AMOUNT all ] reminders [SL:DATE_TIME for the month of September ] . ]
reminder	Can you remind me that I need to buy sunblock tonight for my trip?	[IN:CREATE_REMINDER Can you remind [SL:PERSON_REMINDED me ] that I need to [SL:TODO [IN:GET_TODO [SL:TODO buy sunblock ] [SL:DATE_TIME tonight ] [SL:TODO for my trip ] ] ] ? ]
reminder	Create a reminder for the concert that starts at 7:00 pm on Saturday. Alert me an hour before.	[IN:CREATE_REMINDER Create a reminder for [SL:TODO [IN:GET_TODO [SL:TODO the concert ] that starts [SL:DATE_TIME at 7 : 00 pm on Saturday ] ] ] . Alert [SL:PERSON_REMINDED me ] [SL:DATE_TIME an hour before ] . ]
reminder	Move the reminder for the pool party to Wednesday of next week	[IN:UPDATE_REMINDER_DATE_TIME Move the reminder for [SL:TODO the pool party ] [SL:DATE_TIME_NEW to Wednesday of next week ] ]
reminder	Set up a reminder to set the kids room ac to 76 everyday.	[IN:CREATE_REMINDER Set up a reminder to [SL:TODO set the kids room ac to 76 ] [SL:RECURRING_DATE_TIME [IN:GET_RECURRING_DATE_TIME [SL:FREQUENCY everyday ] ] ] . ]
