domain	utterance	semantic_parse
weather	will it be sunny tomorrow?	[IN:GET_WEATHER will it be [SL:WEATHER_ATTRIBUTE sunny ] [SL:DATE_TIME tomorrow ] ? ]
weather	What time is sundown today?	[IN:GET_WEATHER What time is [SL:WEATHER_ATTRIBUTE sundown ] [SL:DATE_TIME today ] ? ]
weather	How much snow is going to fall?	[IN:GET_WEATHER How much [SL:WEATHER_ATTRIBUTE snow ] is going to fall ? ]
weather	what is the temp going to be this weekend	[IN:GET_WEATHER what is the temp going to be [SL:DATE_TIME this weekend ] ]
weather	What is the weather this weekend in Destin, Florida?	[IN:GET_WEATHER What is the weather [SL:DATE_TIME this weekend ] in [SL:LOCATION Destin , Florida ] ? ]
weather	What's the high for today	[IN:GET_WEATHER What 's the high [SL:DATE_TIME for today ] ]
weather	Do I need winter boots in Denver in the month of December?	[IN:GET_WEATHER Do I need [SL:WEATHER_ATTRIBUTE winter boots ] in [SL:LOCATION Denver ] [SL:DATE_TIME in the month ] of [SL:DATE_TIME December ] ? ]
weather	What is the likelihood of snow tomorrow?	[IN:GET_WEATHER What is the likelihood of snow [SL:DATE_TIME tomorrow ] ? ]
weather	do I need to bring a jacket today?	[IN:GET_WEATHER do I need to bring a [SL:WEATHER_ATTRIBUTE jacket ] [SL:DATE_TIME today ] ? ]
weather	do i need an umbrella today?	[IN:GET_WEATHER do i need an [SL:WEATHER_ATTRIBUTE umbrella ] [SL:DATE_TIME today ] ? ]
weather	Do I need a jacket today?	[IN:GET_WEATHER Do I need a [SL:WEATHER_ATTRIBUTE jacket ] [SL:DATE_TIME today ] ? ]
weather	Will it rain today?	[IN:GET_WEATHER Will it [SL:WEATHER_ATTRIBUTE rain ] [SL:DATE_TIME today ] ? ]
weather	temperature in chandler	[IN:GET_WEATHER temperature in [SL:LOCATION chandler ] ]
weather	will it rain this week	[IN:GET_WEATHER will it [SL:WEATHER_ATTRIBUTE rain ] [SL:DATE_TIME this week ] ]
weather	Weather for the week	[IN:GET_WEATHER Weather [SL:DATE_TIME for the week ] ]
weather	Will the weather be clear on Saturday?	[IN:GET_WEATHER Will the weather be [SL:WEATHER_ATTRIBUTE clear ] [SL:DATE_TIME on Saturday ] ? ]
weather	Will it rain today?	[IN:GET_WEATHER Will it [SL:WEATHER_ATTRIBUTE rain ] [SL:DATE_TIME today ] ? ]
weather	storms today?	[IN:GET_WEATHER [SL:WEATHER_ATTRIBUTE storms ] [SL:DATE_TIME today ] ? ]
weather	What's the weather in Mexico?	[IN:GET_WEATHER What 's the weather in [SL:LOCATION Mexico ] ? ]
weather	What is the local forecast for this weekend?	[IN:GET_WEATHER What is the local forecast [SL:DATE_TIME for this weekend ] ? ]
weather	are there any warnings today	[IN:GET_WEATHER are there any warnings [SL:DATE_TIME today ] ]
weather	Will it be cloudy all day?	[IN:GET_WEATHER Will it be [SL:WEATHER_ATTRIBUTE cloudy ] [SL:DATE_TIME all day ] ? ]
weather	What's tomorrow's forecast?	[IN:GET_WEATHER What 's [SL:DATE_TIME tomorrow ] 's forecast ? ]
weather	Is it going to snow this week?	[IN:GET_WEATHER Is it going to [SL:WEATHER_ATTRIBUTE snow ] [SL:DATE_TIME this week ] ? ]
weather	Will it be cloudy tomorrow?	[IN:GET_WEATHER Will it be [SL:WEATHER_ATTRIBUTE cloudy ] [SL:DATE_TIME tomorrow ] ? ]
weather	What is the low temperature for Olympia today?	[IN:GET_WEATHER What is the low temperature for [SL:LOCATION Olympia ] [SL:DATE_TIME today ] ? ]
weather	Is there a flood warning?	[IN:GET_WEATHER Is there a flood warning ? ]
weather	What it the low for this week.	[IN:GET_WEATHER What it the low [SL:DATE_TIME for this week ] . ]
weather	What time will it start to rain today?	[IN:GET_WEATHER What time will it start to [SL:WEATHER_ATTRIBUTE rain ] [SL:DATE_TIME today ] ? ]
weather	does it snow anywhere in Georgia?	[IN:GET_WEATHER does it [SL:WEATHER_ATTRIBUTE snow ] anywhere in [SL:LOCATION Georgia ] ? ]
weather	Is it suppose to be cloudy tomorrow?	[IN:GET_WEATHER Is it suppose to be [SL:WEATHER_ATTRIBUTE cloudy ] [SL:DATE_TIME tomorrow ] ? ]
weather	How hot will it get Saturday?	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE hot ] will it get [SL:DATE_TIME Saturday ] ? ]
weather	What is the weather going to be like this week at Miami beach?	[IN:GET_WEATHER What is the weather going to be like [SL:DATE_TIME this week ] at [SL:LOCATION Miami beach ] ? ]
weather	whats the weather for this week?	[IN:GET_WEATHER whats the weather [SL:DATE_TIME for this week ] ? ]
weather	Is it going to snow tomorrow	[IN:GET_WEATHER Is it going to [SL:WEATHER_ATTRIBUTE snow ] [SL:DATE_TIME tomorrow ] ]
weather	I want to know what days it may storm this week.	[IN:GET_WEATHER I want to know what days it [SL:DATE_TIME may ] [SL:WEATHER_ATTRIBUTE storm ] [SL:DATE_TIME this week ] . ]
weather	Is snow in the forecast	[IN:GET_WEATHER Is [SL:WEATHER_ATTRIBUTE snow ] in the forecast ]
weather	Are there any current weather travel advisories?	[IN:GET_WEATHER Are there any current weather travel advisories ? ]
weather	Should I wear rain boots today?	[IN:GET_WEATHER Should I wear [SL:WEATHER_ATTRIBUTE rain boots ] [SL:DATE_TIME today ] ? ]
weather	is today considered beach weather?	[IN:GET_WEATHER is [SL:DATE_TIME today ] considered [SL:LOCATION beach ] weather ? ]
weather	how long is it going to rain	[IN:GET_WEATHER how long is it going to [SL:WEATHER_ATTRIBUTE rain ] ]
weather	When is it supposed to rain next?	[IN:GET_WEATHER When is it supposed to [SL:WEATHER_ATTRIBUTE rain ] next ? ]
weather	I need this weeks weather forecast please.	[IN:GET_WEATHER I need [SL:DATE_TIME this weeks ] weather forecast please . ]
weather	whats the low for tomorrow	[IN:GET_WEATHER whats the low [SL:DATE_TIME for tomorrow ] ]
weather	Is Miami getting rain today?	[IN:GET_WEATHER Is [SL:LOCATION Miami ] getting [SL:WEATHER_ATTRIBUTE rain ] [SL:DATE_TIME today ] ? ]
weather	Weather this week	[IN:GET_WEATHER Weather [SL:DATE_TIME this week ] ]
weather	What is the forecast for today?	[IN:GET_WEATHER What is the forecast [SL:DATE_TIME for today ] ? ]
weather	Weather please St. Louis Missouri.	[IN:GET_WEATHER Weather please [SL:LOCATION St . Louis Missouri ] . ]
weather	What is the weekend forecast?	[IN:GET_WEATHER What is the [SL:DATE_TIME weekend ] forecast ? ]
weather	Is there a hurricane heading to the US?	[IN:GET_WEATHER Is there a [SL:WEATHER_ATTRIBUTE hurricane ] heading to the [SL:LOCATION US ] ? ]
weather	Is there a rip current at the beach this weekend?	[IN:UNSUPPORTED_WEATHER Is there a rip current at the [SL:LOCATION beach ] [SL:DATE_TIME this weekend ] ? ]
weather	what is the temperature	[IN:GET_WEATHER what is the temperature ]
weather	Is it going to snow today?	[IN:GET_WEATHER Is it going to [SL:WEATHER_ATTRIBUTE snow ] [SL:DATE_TIME today ] ? ]
weather	Is there a tornado threat?	[IN:GET_WEATHER Is there a [SL:WEATHER_ATTRIBUTE tornado ] threat ? ]
weather	What is the temperature going to be tomorrow?	[IN:GET_WEATHER What is the temperature going to be [SL:DATE_TIME tomorrow ] ? ]
weather	weather	[IN:GET_WEATHER weather ]
weather	When is it going to rain again in Atlanta?	[IN:GET_WEATHER When is it going to [SL:WEATHER_ATTRIBUTE rain ] again in [SL:LOCATION Atlanta ] ? ]
weather	should I bring a sweater with me today?	[IN:GET_WEATHER should I bring a [SL:WEATHER_ATTRIBUTE sweater ] with me [SL:DATE_TIME today ] ? ]
weather	what's the chance of rain today?	[IN:GET_WEATHER what 's the chance of [SL:WEATHER_ATTRIBUTE rain ] [SL:DATE_TIME today ] ? ]
weather	Is it raining today in London?	[IN:GET_WEATHER Is it [SL:WEATHER_ATTRIBUTE raining ] [SL:DATE_TIME today ] in [SL:LOCATION London ] ? ]
weather	Will it get to 80 degrees today?	[IN:GET_WEATHER Will it [SL:WEATHER_ATTRIBUTE get to 80 ] degrees [SL:DATE_TIME today ] ? ]
weather	give me a forecast for Italy this week	[IN:GET_WEATHER give me a forecast for [SL:LOCATION Italy ] [SL:DATE_TIME this week ] ]
weather	do i need a jacket in san fran tonight	[IN:GET_WEATHER do i need a [SL:WEATHER_ATTRIBUTE jacket ] in [SL:LOCATION san fran ] [SL:DATE_TIME tonight ] ]
weather	How does the weather look today?	[IN:GET_WEATHER How does the weather look [SL:DATE_TIME today ] ? ]
weather	what is the weather in new york	[IN:GET_WEATHER what is the weather in [SL:LOCATION new york ] ]
weather	how much of a chance of rain tomorrow	[IN:GET_WEATHER how much of a chance of [SL:WEATHER_ATTRIBUTE rain ] [SL:DATE_TIME tomorrow ] ]
weather	will it snow today	[IN:GET_WEATHER will it [SL:WEATHER_ATTRIBUTE snow ] [SL:DATE_TIME today ] ]
weather	when will it rain this week	[IN:GET_WEATHER when will it [SL:WEATHER_ATTRIBUTE rain ] [SL:DATE_TIME this week ] ]
weather	do i need an umbrella today	[IN:GET_WEATHER do i need an [SL:WEATHER_ATTRIBUTE umbrella ] [SL:DATE_TIME today ] ]
weather	Should I wear rain boots today?	[IN:GET_WEATHER Should I wear [SL:WEATHER_ATTRIBUTE rain boots ] [SL:DATE_TIME today ] ? ]
weather	When is the next time it is guessed to rain?	[IN:GET_WEATHER When is the next time it is guessed to [SL:WEATHER_ATTRIBUTE rain ] ? ]
weather	Will it rain on Saturday?	[IN:GET_WEATHER Will it [SL:WEATHER_ATTRIBUTE rain ] [SL:DATE_TIME on Saturday ] ? ]
weather	What is the air quality today?	[IN:UNSUPPORTED_WEATHER What is the [SL:WEATHER_ATTRIBUTE air quality ] [SL:DATE_TIME today ] ? ]
weather	Are there any storms headed my way this week?	[IN:GET_WEATHER Are there any [SL:WEATHER_ATTRIBUTE storms ] headed my way [SL:DATE_TIME this week ] ? ]
weather	What is the humidity today?	[IN:GET_WEATHER What is the [SL:WEATHER_ATTRIBUTE humidity ] [SL:DATE_TIME today ] ? ]
weather	how will the weather be at hyde park at 11pm	[IN:GET_WEATHER how will the weather be at [SL:LOCATION hyde park ] [SL:DATE_TIME at 11 pm ] ]
weather	Will there be any winds today?	[IN:GET_WEATHER Will there be any [SL:WEATHER_ATTRIBUTE winds ] [SL:DATE_TIME today ] ? ]
weather	What is today's forecast?	[IN:GET_WEATHER What is [SL:DATE_TIME today ] 's forecast ? ]
weather	what is the temperature for Myrtle Beach this weekend	[IN:GET_WEATHER what is the temperature for [SL:LOCATION Myrtle Beach ] [SL:DATE_TIME this weekend ] ]
weather	is it going to storm this weekend	[IN:GET_WEATHER is it going to [SL:WEATHER_ATTRIBUTE storm ] [SL:DATE_TIME this weekend ] ]
weather	Tell me this weeks weather forecast.	[IN:GET_WEATHER Tell me [SL:DATE_TIME this weeks ] weather forecast . ]
weather	What is the weather near me?	[IN:GET_WEATHER What is the weather near [SL:LOCATION me ] ? ]
weather	will it sleet	[IN:GET_WEATHER will it [SL:WEATHER_ATTRIBUTE sleet ] ]
weather	what is the weather going to be tomorrow in Seattle	[IN:GET_WEATHER what is the weather going to be [SL:DATE_TIME tomorrow ] in [SL:LOCATION Seattle ] ]
weather	Will it be cloudy tomorrow	[IN:GET_WEATHER Will it be [SL:WEATHER_ATTRIBUTE cloudy ] [SL:DATE_TIME tomorrow ] ]
weather	What is the wind chill in Rochester, NY?	[IN:GET_WEATHER What is the [SL:WEATHER_ATTRIBUTE wind ] chill in [SL:LOCATION Rochester , NY ] ? ]
weather	Does it snow in this city	[IN:GET_WEATHER Does it [SL:WEATHER_ATTRIBUTE snow ] in [SL:LOCATION this city ] ]
weather	Is there a forecast for snow this week?	[IN:GET_WEATHER Is there a forecast for [SL:WEATHER_ATTRIBUTE snow ] [SL:DATE_TIME this week ] ? ]
weather	What is the weather like at the Arctic pole?	[IN:GET_WEATHER What is the weather like at the [SL:LOCATION Arctic pole ] ? ]
weather	What is the weather like In Miami?	[IN:GET_WEATHER What is the weather like In [SL:LOCATION Miami ] ? ]
weather	what is the current weather in tennessee	[IN:GET_WEATHER what is the current weather in [SL:LOCATION tennessee ] ]
weather	how cold is it	[IN:GET_WEATHER how [SL:WEATHER_ATTRIBUTE cold ] is it ]
weather	Do I need a raincoat?	[IN:GET_WEATHER Do I need a [SL:WEATHER_ATTRIBUTE raincoat ] ? ]
weather	What is the weather going to be like this Saturday?	[IN:GET_WEATHER What is the weather going to be like [SL:DATE_TIME this Saturday ] ? ]
weather	What time is it coldest tomorrow?	[IN:GET_WEATHER What time is it [SL:WEATHER_ATTRIBUTE coldest ] [SL:DATE_TIME tomorrow ] ? ]
weather	What is the weather like in Edison	[IN:GET_WEATHER What is the weather like in [SL:LOCATION Edison ] ]
weather	How hot will it be today?	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE hot ] will it be [SL:DATE_TIME today ] ? ]
weather	Is it going to rain in NY when my plane lands	[IN:GET_WEATHER Is it going to [SL:WEATHER_ATTRIBUTE rain ] in [SL:LOCATION NY ] when my plane lands ]
weather	what is the humidity right now?	[IN:GET_WEATHER what is the [SL:WEATHER_ATTRIBUTE humidity ] right now ? ]
weather	What is the weather forecast for Denver?	[IN:GET_WEATHER What is the weather forecast for [SL:LOCATION Denver ] ? ]
weather	Is it supposed to be windy today?	[IN:GET_WEATHER Is it supposed to be [SL:WEATHER_ATTRIBUTE windy ] [SL:DATE_TIME today ] ? ]
weather	What is the temperture of Higgins Lake	[IN:GET_WEATHER What is the temperture of [SL:LOCATION Higgins Lake ] ]
weather	What is the weather like in Austin	[IN:GET_WEATHER What is the weather like in [SL:LOCATION Austin ] ]
weather	is it windy out	[IN:GET_WEATHER is it [SL:WEATHER_ATTRIBUTE windy ] [SL:LOCATION out ] ]
weather	Is there a flash flood warning?	[IN:GET_WEATHER Is there a flash flood warning ? ]
weather	Afternoon temperature	[IN:GET_WEATHER [SL:DATE_TIME Afternoon ] temperature ]
weather	What is today's highs?	[IN:GET_WEATHER What is [SL:DATE_TIME today ] 's [SL:WEATHER_ATTRIBUTE highs ] ? ]
weather	What is this week's forecast?	[IN:GET_WEATHER What is [SL:DATE_TIME this week ] 's forecast ? ]
weather	is it going to rain all week	[IN:GET_WEATHER is it going to [SL:WEATHER_ATTRIBUTE rain ] [SL:DATE_TIME all week ] ]
weather	Is rain expected next Wednesday	[IN:GET_WEATHER Is [SL:WEATHER_ATTRIBUTE rain ] expected [SL:DATE_TIME next Wednesday ] ]
weather	how many feet of snow will it snow in THE MOUNTains over los angeles?	[IN:GET_WEATHER how many feet of [SL:WEATHER_ATTRIBUTE snow ] will it snow in THE [SL:LOCATION MOUNTains ] over [SL:LOCATION los angeles ] ? ]
weather	what is the average temp here next week?	[IN:GET_WEATHER what is the average temp [SL:LOCATION here ] [SL:DATE_TIME next week ] ? ]
weather	What is the weather in Chapel Hill at 4 am?	[IN:GET_WEATHER What is the weather in [SL:LOCATION Chapel Hill ] [SL:DATE_TIME at 4 am ] ? ]
weather	What is the weather all week?	[IN:GET_WEATHER What is the weather [SL:DATE_TIME all week ] ? ]
weather	Should I bring an umbrella?	[IN:GET_WEATHER Should I bring an [SL:WEATHER_ATTRIBUTE umbrella ] ? ]
weather	Will it be hot and humid in the Dominican Republic during August?	[IN:GET_WEATHER Will it be [SL:WEATHER_ATTRIBUTE hot ] and [SL:WEATHER_ATTRIBUTE humid ] in the [SL:LOCATION Dominican Republic ] [SL:DATE_TIME during August ] ? ]
weather	When is the next time it is going to rain?	[IN:GET_WEATHER When is the next time it is going to [SL:WEATHER_ATTRIBUTE rain ] ? ]
weather	Is it cold out today?	[IN:GET_WEATHER Is it [SL:WEATHER_ATTRIBUTE cold ] [SL:LOCATION out ] [SL:DATE_TIME today ] ? ]
weather	Is it going to be hot today?	[IN:GET_WEATHER Is it going to be [SL:WEATHER_ATTRIBUTE hot ] [SL:DATE_TIME today ] ? ]
weather	How windy is it in West Virginia?	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE windy ] is it in [SL:LOCATION West Virginia ] ? ]
weather	Will it be sunny later today?	[IN:GET_WEATHER Will it be [SL:WEATHER_ATTRIBUTE sunny ] later [SL:DATE_TIME today ] ? ]
weather	What is the humidity in Port Orange right now?	[IN:GET_WEATHER What is the [SL:WEATHER_ATTRIBUTE humidity ] in [SL:LOCATION Port Orange ] right now ? ]
weather	Hows the weather in Sydney	[IN:GET_WEATHER Hows the weather in [SL:LOCATION Sydney ] ]
weather	Will it be sunny tomorrow	[IN:GET_WEATHER Will it be [SL:WEATHER_ATTRIBUTE sunny ] [SL:DATE_TIME tomorrow ] ]
weather	Do I need a coat today?	[IN:GET_WEATHER Do I need a [SL:WEATHER_ATTRIBUTE coat ] [SL:DATE_TIME today ] ? ]
weather	HOW MANY INCHES OF SNOW SHOULD WE EXPECT?	[IN:GET_WEATHER HOW MANY INCHES OF [SL:WEATHER_ATTRIBUTE SNOW ] SHOULD WE EXPECT ? ]
weather	IS IT SAFE TO GO TO THE BEACH TODAY	[IN:GET_WEATHER IS IT SAFE TO GO TO THE [SL:LOCATION BEACH ] [SL:DATE_TIME TODAY ] ]
weather	How long is the fog going to last this morning?	[IN:GET_WEATHER How long is the [SL:WEATHER_ATTRIBUTE fog ] going [SL:DATE_TIME to last this morning ] ? ]
weather	What is the average temperature in August	[IN:GET_WEATHER What is the average temperature [SL:DATE_TIME in August ] ]
weather	How hot does Los Angeles get in September?	[IN:GET_WEATHER How [SL:WEATHER_ATTRIBUTE hot ] does [SL:LOCATION Los Angeles ] get [SL:DATE_TIME in September ] ? ]
weather	Will it snow today?	[IN:GET_WEATHER Will it [SL:WEATHER_ATTRIBUTE snow ] [SL:DATE_TIME today ] ? ]
weather	what is the temperature high for today?	[IN:GET_WEATHER what is the temperature high [SL:DATE_TIME for today ] ? ]
weather	Is it going to storm tonight?	[IN:GET_WEATHER Is it going to [SL:WEATHER_ATTRIBUTE storm ] [SL:DATE_TIME tonight ] ? ]
weather	Tell me what the temperature is in 43017 right now.	[IN:GET_WEATHER Tell me what the temperature is in [SL:LOCATION 43017 ] right now . ]
weather	What is the weather in Chicago on Wednesday?	[IN:GET_WEATHER What is the weather in [SL:LOCATION Chicago ] [SL:DATE_TIME on Wednesday ] ? ]
weather	Is snow predicted in Boston next week	[IN:GET_WEATHER Is [SL:WEATHER_ATTRIBUTE snow ] predicted in [SL:LOCATION Boston ] [SL:DATE_TIME next week ] ]
weather	what the weather this week	[IN:GET_WEATHER what the weather [SL:DATE_TIME this week ] ]
weather	What will the weather be like in London tomorrow	[IN:GET_WEATHER What will the weather be like in [SL:LOCATION London ] [SL:DATE_TIME tomorrow ] ]
weather	should i pack a jacket for beech mountain?	[IN:GET_WEATHER should i pack a [SL:WEATHER_ATTRIBUTE jacket ] for [SL:LOCATION beech mountain ] ? ]
weather	how warm is it in Anchorage	[IN:GET_WEATHER how [SL:WEATHER_ATTRIBUTE warm ] is it in [SL:LOCATION Anchorage ] ]
weather	What's the temperature right now?	[IN:GET_WEATHER What 's the temperature right now ? ]
weather	How much snow will we get?	[IN:GET_WEATHER How much [SL:WEATHER_ATTRIBUTE snow ] will we get ? ]
weather	what is the high for today	[IN:GET_WEATHER what is the high [SL:DATE_TIME for today ] ]
weather	Is it suppose to rain at the State Fair Park today?	[IN:GET_WEATHER Is it suppose to [SL:WEATHER_ATTRIBUTE rain ] at the [SL:LOCATION State Fair Park ] [SL:DATE_TIME today ] ? ]
