domain	utterance	semantic_parse
timer	Tell me when I have 10 minutes left on my timer.	[IN:GET_TIMER Tell me when I have [SL:TIMER_NAME [IN:GET_TIME [SL:DATE_TIME 10 minutes ] ] ] left on my [SL:METHOD_TIMER timer ] . ]
timer	How much timer is left on my timer?	[IN:GET_TIMER How much timer is left on my [SL:METHOD_TIMER timer ] ? ]
timer	Remove 1 hour from my current timer.	[IN:SUBTRACT_TIME_TIMER Remove [SL:DATE_TIME 1 hour ] from my current [SL:METHOD_TIMER timer ] . ]
timer	Resume paused timer	[IN:RESUME_TIMER Resume paused [SL:METHOD_TIMER timer ] ]
timer	pause the timer	[IN:PAUSE_TIMER pause the [SL:METHOD_TIMER timer ] ]
timer	Set alarm every minute for 9 minutes	[IN:UNSUPPORTED_TIMER Set alarm every minute for 9 minutes ]
timer	Give me an alarm every 2 minutes	[IN:UNSUPPORTED_TIMER Give me an alarm every 2 minutes ]
timer	Set 10-minute timer to start as soon as I leave work	[IN:CREATE_TIMER Set [SL:DATE_TIME 10 - minute ] [SL:METHOD_TIMER timer ] to start as soon as I leave work ]
timer	Time how long it takes for me to run 400 meters	[IN:CREATE_TIMER [SL:METHOD_TIMER Time ] how long it takes for me to [SL:TIMER_NAME run 400 meters ] ]
timer	Set timer for one hour.	[IN:CREATE_TIMER Set [SL:METHOD_TIMER timer ] [SL:DATE_TIME for one hour ] . ]
timer	set timer for 6 hours 30 minutes	[IN:CREATE_TIMER set [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 6 hours 30 minutes ] ]
timer	set a timer for 15 minutes	[IN:CREATE_TIMER set a [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 15 minutes ] ]
timer	end my timer	[IN:DELETE_TIMER end my [SL:METHOD_TIMER timer ] ]
timer	Add five minutes to my timer.	[IN:ADD_TIME_TIMER Add [SL:DATE_TIME five minutes ] to my [SL:METHOD_TIMER timer ] . ]
timer	Show all timers	[IN:GET_TIMER Show [SL:AMOUNT all ] [SL:METHOD_TIMER timers ] ]
timer	start timing	[IN:CREATE_TIMER start [SL:METHOD_TIMER timing ] ]
timer	start timer now	[IN:CREATE_TIMER start [SL:METHOD_TIMER timer ] now ]
timer	How much time is left on second timer?	[IN:GET_TIMER How much time is left on [SL:ORDINAL second ] [SL:METHOD_TIMER timer ] ? ]
timer	how many minutes left on my timer	[IN:GET_TIMER how many minutes left on my [SL:METHOD_TIMER timer ] ]
timer	Resume my timer	[IN:RESUME_TIMER Resume my [SL:METHOD_TIMER timer ] ]
timer	Start timer for my walk	[IN:CREATE_TIMER Start [SL:METHOD_TIMER timer ] for my [SL:TIMER_NAME walk ] ]
timer	set the timer for 45 mins	[IN:CREATE_TIMER set the [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 45 mins ] ]
timer	Set a timer of 30 minutes for my gym workout.	[IN:CREATE_TIMER Set a [SL:METHOD_TIMER timer ] of [SL:DATE_TIME 30 minutes ] for my [SL:TIMER_NAME gym workout ] . ]
timer	Set timer for 10 minutes	[IN:CREATE_TIMER Set [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 10 minutes ] ]
timer	set a timer for 1 hour	[IN:CREATE_TIMER set a [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 1 hour ] ]
timer	pause my timer	[IN:PAUSE_TIMER pause my [SL:METHOD_TIMER timer ] ]
timer	How much time is left on current timer?	[IN:GET_TIMER How much time is left on current [SL:METHOD_TIMER timer ] ? ]
timer	turn off timer	[IN:PAUSE_TIMER turn off [SL:METHOD_TIMER timer ] ]
timer	show my timer for tuesday	[IN:GET_TIMER show my [SL:METHOD_TIMER timer ] [SL:TIMER_NAME [IN:GET_TIME [SL:DATE_TIME for tuesday ] ] ] ]
timer	Resume timer	[IN:RESUME_TIMER Resume [SL:METHOD_TIMER timer ] ]
timer	Pause timer, start again in one minute	[IN:PAUSE_TIMER Pause [SL:METHOD_TIMER timer ] , start again in one minute ]
timer	resume timer	[IN:RESUME_TIMER resume [SL:METHOD_TIMER timer ] ]
timer	Set alarm for 5 min every ten minutes	[IN:UNSUPPORTED_TIMER Set alarm for 5 min every ten minutes ]
timer	set alarm every 90 seconds for 30 minutes	[IN:UNSUPPORTED_TIMER set alarm every 90 seconds for 30 minutes ]
timer	Pause the timer	[IN:PAUSE_TIMER Pause the [SL:METHOD_TIMER timer ] ]
timer	Set an alarm every 15 minutes for 6 hours	[IN:UNSUPPORTED_TIMER Set an alarm every 15 minutes for 6 hours ]
timer	add 2 minutes to the timer	[IN:ADD_TIME_TIMER add [SL:DATE_TIME 2 minutes ] to the [SL:METHOD_TIMER timer ] ]
timer	Pause Timer	[IN:PAUSE_TIMER Pause [SL:METHOD_TIMER Timer ] ]
timer	Add 5 minutes to timer.	[IN:ADD_TIME_TIMER Add [SL:DATE_TIME 5 minutes ] to [SL:METHOD_TIMER timer ] . ]
timer	Show timer	[IN:GET_TIMER Show [SL:METHOD_TIMER timer ] ]
timer	Play alarm every 5 minutes.	[IN:UNSUPPORTED_TIMER Play alarm every 5 minutes . ]
timer	Delete the current timer.	[IN:DELETE_TIMER Delete the current [SL:METHOD_TIMER timer ] . ]
timer	Set a timer for 20 minutes	[IN:CREATE_TIMER Set a [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 20 minutes ] ]
timer	Put 58 minutes on the clock	[IN:CREATE_TIMER Put [SL:DATE_TIME 58 minutes ] on the clock ]
timer	Start 7 minute cooking timer	[IN:CREATE_TIMER Start [SL:DATE_TIME 7 minute ] cooking [SL:METHOD_TIMER timer ] ]
timer	Please resume the timer.	[IN:RESUME_TIMER Please resume the [SL:METHOD_TIMER timer ] . ]
timer	cancel all timers running.	[IN:DELETE_TIMER cancel [SL:AMOUNT all ] [SL:METHOD_TIMER timers ] running . ]
timer	restart timer	[IN:RESTART_TIMER restart [SL:METHOD_TIMER timer ] ]
timer	add 5 more minutes to timer	[IN:ADD_TIME_TIMER add [SL:DATE_TIME 5 more minutes ] to [SL:METHOD_TIMER timer ] ]
timer	Add 20 minutes to timer	[IN:ADD_TIME_TIMER Add [SL:DATE_TIME 20 minutes ] to [SL:METHOD_TIMER timer ] ]
timer	Can you restart the current timer?	[IN:RESTART_TIMER Can you restart the current [SL:METHOD_TIMER timer ] ? ]
timer	start timer for 10 minutes	[IN:CREATE_TIMER start [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 10 minutes ] ]
timer	add 5 minutes to timer	[IN:ADD_TIME_TIMER add [SL:DATE_TIME 5 minutes ] to [SL:METHOD_TIMER timer ] ]
timer	pause timer	[IN:PAUSE_TIMER pause [SL:METHOD_TIMER timer ] ]
timer	add 6 minutes to shortest timer	[IN:ADD_TIME_TIMER add [SL:DATE_TIME 6 minutes ] to shortest [SL:METHOD_TIMER timer ] ]
timer	Pause timer.	[IN:PAUSE_TIMER Pause [SL:METHOD_TIMER timer ] . ]
timer	set an alarm for every 10 minutes for 1 hour.	[IN:UNSUPPORTED_TIMER set an alarm for every 10 minutes for 1 hour . ]
timer	Stop timer	[IN:PAUSE_TIMER Stop [SL:METHOD_TIMER timer ] ]
timer	What's the time left?	[IN:GET_TIMER What 's the [SL:METHOD_TIMER time ] left ? ]
timer	pause timer	[IN:PAUSE_TIMER pause [SL:METHOD_TIMER timer ] ]
timer	Snooze timer	[IN:PAUSE_TIMER Snooze [SL:METHOD_TIMER timer ] ]
timer	how many seconds left on the timer	[IN:GET_TIMER how many seconds left on the [SL:METHOD_TIMER timer ] ]
timer	How much time is left on my timer	[IN:GET_TIMER How much time is left on my [SL:METHOD_TIMER timer ] ]
timer	Resume my timer	[IN:RESUME_TIMER Resume my [SL:METHOD_TIMER timer ] ]
timer	please pause my timer	[IN:PAUSE_TIMER please pause my [SL:METHOD_TIMER timer ] ]
timer	resume timer	[IN:RESUME_TIMER resume [SL:METHOD_TIMER timer ] ]
timer	restart the timer	[IN:RESTART_TIMER restart the [SL:METHOD_TIMER timer ] ]
timer	reset the timer	[IN:RESTART_TIMER reset the [SL:METHOD_TIMER timer ] ]
timer	check the timer	[IN:GET_TIMER check the [SL:METHOD_TIMER timer ] ]
timer	How many minutes until my timer expires?	[IN:GET_TIMER How many minutes until my [SL:METHOD_TIMER timer ] expires ? ]
timer	SET AN ALARM  FOR EVERY 10 MINUTES FOR AN HOUR	[IN:UNSUPPORTED_TIMER SET AN ALARM FOR EVERY 10 MINUTES FOR AN HOUR ]
timer	Reset timer	[IN:RESTART_TIMER Reset [SL:METHOD_TIMER timer ] ]
timer	Please tell me how much time I have left on time current timer	[IN:GET_TIMER Please tell me how much time I have left on time current [SL:METHOD_TIMER timer ] ]
timer	please add 10 minutes to my timer	[IN:ADD_TIME_TIMER please add [SL:DATE_TIME 10 minutes ] to my [SL:METHOD_TIMER timer ] ]
timer	Count for twenty minutes and remind me	[IN:CREATE_TIMER [SL:METHOD_TIMER Count ] [SL:DATE_TIME for twenty minutes ] and remind me ]
timer	How long until my timer is up?	[IN:GET_TIMER How long until my [SL:METHOD_TIMER timer ] is up ? ]
timer	start my timer	[IN:CREATE_TIMER start my [SL:METHOD_TIMER timer ] ]
timer	reset timer	[IN:RESTART_TIMER reset [SL:METHOD_TIMER timer ] ]
timer	Pause the timer while I tie my shoe.	[IN:PAUSE_TIMER Pause the [SL:METHOD_TIMER timer ] while I tie my shoe . ]
timer	Extend timer by 5 minutes.	[IN:ADD_TIME_TIMER Extend [SL:METHOD_TIMER timer ] [SL:DATE_TIME by 5 minutes ] . ]
timer	add 5 minutes please	[IN:ADD_TIME_TIMER add [SL:DATE_TIME 5 minutes ] please ]
timer	Add ten minutes to the timer	[IN:ADD_TIME_TIMER Add [SL:DATE_TIME ten minutes ] to the [SL:METHOD_TIMER timer ] ]
timer	Set timer for 10 minutes	[IN:CREATE_TIMER Set [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 10 minutes ] ]
timer	How much time is left on cook timer?	[IN:GET_TIMER How much time is left on cook [SL:METHOD_TIMER timer ] ? ]
timer	cancel current timer and change to 15 minutes	[IN:DELETE_TIMER cancel current [SL:METHOD_TIMER timer ] and change to 15 minutes ]
timer	Set alarm every fifteen minutes	[IN:UNSUPPORTED_TIMER Set alarm every fifteen minutes ]
timer	set my timer for 10 minutes	[IN:CREATE_TIMER set my [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 10 minutes ] ]
timer	What time does the next timer start?	[IN:GET_TIMER What time does the [SL:ORDINAL next ] [SL:METHOD_TIMER timer ] start ? ]
timer	Repeat timer	[IN:RESUME_TIMER Repeat [SL:METHOD_TIMER timer ] ]
timer	Take three minutes off timer.	[IN:SUBTRACT_TIME_TIMER Take [SL:DATE_TIME three minutes ] off [SL:METHOD_TIMER timer ] . ]
timer	start timer at 1:00 pm	[IN:CREATE_TIMER start [SL:METHOD_TIMER timer ] [SL:DATE_TIME at 1 : 00 pm ] ]
timer	start workout timer	[IN:CREATE_TIMER start [SL:TIMER_NAME workout ] [SL:METHOD_TIMER timer ] ]
timer	how much time left on my current timer	[IN:GET_TIMER how much time left on my current [SL:METHOD_TIMER timer ] ]
timer	Set a timer for 15 minutes	[IN:CREATE_TIMER Set a [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 15 minutes ] ]
timer	cancel the timer	[IN:DELETE_TIMER cancel the [SL:METHOD_TIMER timer ] ]
timer	give me an update on my timer	[IN:GET_TIMER give me an update on [SL:METHOD_TIMER my ] [SL:METHOD_TIMER timer ] ]
timer	stop running timer	[IN:PAUSE_TIMER stop running [SL:METHOD_TIMER timer ] ]
timer	add a half hour to the timer	[IN:ADD_TIME_TIMER add a [SL:DATE_TIME half hour ] to the [SL:METHOD_TIMER timer ] ]
timer	Set timer for my run.	[IN:CREATE_TIMER Set [SL:METHOD_TIMER timer ] for my [SL:TIMER_NAME run ] . ]
timer	stop the timer	[IN:PAUSE_TIMER stop the [SL:METHOD_TIMER timer ] ]
timer	stop that timer	[IN:PAUSE_TIMER stop that [SL:METHOD_TIMER timer ] ]
timer	cancel timer	[IN:DELETE_TIMER cancel [SL:METHOD_TIMER timer ] ]
timer	stop timer	[IN:PAUSE_TIMER stop [SL:METHOD_TIMER timer ] ]
timer	Close timer.	[IN:PAUSE_TIMER Close [SL:METHOD_TIMER timer ] . ]
timer	Set a timer for 35 minutes for lunch.	[IN:CREATE_TIMER Set a [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 35 minutes ] for lunch . ]
timer	Resume timer	[IN:RESUME_TIMER Resume [SL:METHOD_TIMER timer ] ]
timer	Pause timer.	[IN:PAUSE_TIMER Pause [SL:METHOD_TIMER timer ] . ]
timer	set the timer for an hour, then repeat.	[IN:CREATE_TIMER set the [SL:METHOD_TIMER timer ] for an [SL:DATE_TIME hour ] , then repeat . ]
timer	how much time left	[IN:GET_TIMER how much [SL:METHOD_TIMER time ] left ]
timer	change time to five minutes	[IN:UPDATE_TIMER change [SL:DATE_TIME time to five minutes ] ]
timer	Add 5 minutes to the work timer.	[IN:ADD_TIME_TIMER Add [SL:DATE_TIME 5 minutes ] to the work [SL:METHOD_TIMER timer ] . ]
timer	I would like a timer set for 7:30 on Tuesday July 3rd.	[IN:CREATE_TIMER I would like a [SL:METHOD_TIMER timer ] set [SL:DATE_TIME for 7 : 30 on Tuesday July 3rd ] . ]
timer	How many timers are currently running?	[IN:GET_TIMER How many [SL:METHOD_TIMER timers ] are currently running ? ]
timer	set a timer for an hour and a half	[IN:CREATE_TIMER set a [SL:METHOD_TIMER timer ] [SL:DATE_TIME for an hour and a half ] ]
timer	start timer now	[IN:CREATE_TIMER start [SL:METHOD_TIMER timer ] now ]
timer	Cancel this timer.	[IN:DELETE_TIMER Cancel this [SL:METHOD_TIMER timer ] . ]
timer	Add 5 minutes to timer	[IN:ADD_TIME_TIMER Add [SL:DATE_TIME 5 minutes ] to [SL:METHOD_TIMER timer ] ]
timer	Can you set a timer for one hour for my cake in the oven?	[IN:CREATE_TIMER Can you set a [SL:METHOD_TIMER timer ] [SL:DATE_TIME for one hour ] for my [SL:TIMER_NAME cake in the oven ] ? ]
timer	change timer to 1 min	[IN:UPDATE_TIMER change [SL:METHOD_TIMER timer ] [SL:DATE_TIME to 1 min ] ]
timer	Pause the timer	[IN:PAUSE_TIMER Pause the [SL:METHOD_TIMER timer ] ]
timer	How much time do I have left on my timer as of right now?	[IN:GET_TIMER How much time do I have left on my [SL:METHOD_TIMER timer ] as of right now ? ]
timer	Can you set a timer for a minute	[IN:CREATE_TIMER Can you set a [SL:METHOD_TIMER timer ] [SL:DATE_TIME for a minute ] ]
timer	Resume current timer	[IN:RESUME_TIMER Resume current [SL:METHOD_TIMER timer ] ]
timer	is there any timers that are set currently.	[IN:GET_TIMER is there any [SL:METHOD_TIMER timers ] that are set currently . ]
timer	set a timer for 20 minutes	[IN:CREATE_TIMER set a [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 20 minutes ] ]
timer	add 90 seconds to the timer	[IN:ADD_TIME_TIMER add [SL:DATE_TIME 90 seconds ] to the [SL:METHOD_TIMER timer ] ]
timer	Put additional 6 minutes onto timer	[IN:ADD_TIME_TIMER Put additional 6 minutes onto timer ]
timer	Set  timer for 2 am movie time	[IN:CREATE_TIMER Set [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 2 am ] movie time ]
timer	cancel timer	[IN:DELETE_TIMER cancel [SL:METHOD_TIMER timer ] ]
timer	set alarm every 5 minutes for 10 minutes	[IN:UNSUPPORTED_TIMER set alarm every 5 minutes for 10 minutes ]
timer	Start timer at 4 pm	[IN:CREATE_TIMER Start [SL:METHOD_TIMER timer ] [SL:DATE_TIME at 4 pm ] ]
timer	set coffee timer to start at 6 am	[IN:CREATE_TIMER set coffee [SL:METHOD_TIMER timer ] to start [SL:DATE_TIME at 6 am ] ]
timer	add fifteen minutes to current timer	[IN:ADD_TIME_TIMER add [SL:DATE_TIME fifteen minutes ] to current [SL:METHOD_TIMER timer ] ]
timer	resume the timer for me please	[IN:RESUME_TIMER resume the [SL:METHOD_TIMER timer ] for me please ]
timer	Time my trip to work.	[IN:CREATE_TIMER [SL:METHOD_TIMER Time ] my [SL:TIMER_NAME trip to work ] . ]
timer	Set timer for tomorrow at 3pm	[IN:CREATE_TIMER Set [SL:METHOD_TIMER timer ] [SL:DATE_TIME for tomorrow at 3 pm ] ]
timer	Set a timer for 45 minutes.	[IN:CREATE_TIMER Set a [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 45 minutes ] . ]
timer	Pause my timer, please	[IN:PAUSE_TIMER Pause my [SL:METHOD_TIMER timer ] , please ]
timer	Set a timer for 30 seconds	[IN:CREATE_TIMER Set a [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 30 seconds ] ]
timer	Set the timer for 30 minutes from now	[IN:CREATE_TIMER Set the [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 30 minutes ] from now ]
timer	set alarm for every half hour	[IN:UNSUPPORTED_TIMER set alarm for every half hour ]
timer	delete the 3:00pm timer for 10 minutes	[IN:DELETE_TIMER delete [SL:TIMER_NAME [IN:GET_TIME [SL:DATE_TIME the 3 : 00 pm ] ] ] [SL:METHOD_TIMER timer ] [SL:TIMER_NAME [IN:GET_TIME [SL:DATE_TIME for 10 minutes ] ] ] ]
timer	How much time have already used on my timer?	[IN:GET_TIMER How much time have already used on my [SL:METHOD_TIMER timer ] ? ]
timer	increase timer for cookies to 30 minutes	[IN:CREATE_TIMER increase [SL:METHOD_TIMER timer ] for cookies [SL:DATE_TIME to 30 minutes ] ]
timer	Please set a new timer for 20 minutes from now.	[IN:CREATE_TIMER Please set a new [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 20 minutes from now ] . ]
timer	Can you make a new timer that will run for 97 seconds?	[IN:CREATE_TIMER Can you make a new [SL:METHOD_TIMER timer ] that will run [SL:DATE_TIME for 97 seconds ] ? ]
timer	Pause the timer please.	[IN:PAUSE_TIMER Pause the [SL:METHOD_TIMER timer ] please . ]
timer	add 40 minutes to my sleep timer	[IN:ADD_TIME_TIMER add [SL:DATE_TIME 40 minutes ] to my sleep [SL:METHOD_TIMER timer ] ]
timer	How long is left on timer 1?	[IN:GET_TIMER How long is left on [SL:METHOD_TIMER timer ] 1 ? ]
timer	Pause the timer.	[IN:PAUSE_TIMER Pause the [SL:METHOD_TIMER timer ] . ]
timer	add 30 minutes to the timer	[IN:ADD_TIME_TIMER add [SL:DATE_TIME 30 minutes ] to the [SL:METHOD_TIMER timer ] ]
timer	Pause the timer.	[IN:PAUSE_TIMER Pause the [SL:METHOD_TIMER timer ] . ]
timer	set timer for the kids' playdate	[IN:CREATE_TIMER set [SL:METHOD_TIMER timer ] for the [SL:TIMER_NAME kids ' playdate ] ]
timer	set a timer for 1 minute	[IN:CREATE_TIMER set a [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 1 minute ] ]
timer	How long until my timer is done	[IN:GET_TIMER How long until my [SL:METHOD_TIMER timer ] is done ]
timer	Set an alarm for every 5 minutes.	[IN:UNSUPPORTED_TIMER Set an alarm for every 5 minutes . ]
timer	Restart my time	[IN:RESTART_TIMER Restart my [SL:METHOD_TIMER time ] ]
timer	how many minutes do I have left on my timer?	[IN:GET_TIMER how many minutes do I have left on my [SL:METHOD_TIMER timer ] ? ]
timer	pause the timer	[IN:PAUSE_TIMER pause the [SL:METHOD_TIMER timer ] ]
timer	Set timer for 7 minutes.	[IN:CREATE_TIMER Set [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 7 minutes ] . ]
timer	Set a timer for 3 PM	[IN:CREATE_TIMER Set a [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 3 PM ] ]
timer	How much time is left on this timer event?	[IN:GET_TIMER How much time is left on this [SL:METHOD_TIMER timer ] event ? ]
timer	Please take off 2 minutes from the timer	[IN:SUBTRACT_TIME_TIMER Please take off 2 minutes from the timer ]
timer	Start a timer for 30 seconds and repeat it for 5 minutes	[IN:CREATE_TIMER Start a [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 30 seconds ] and repeat it for 5 minutes ]
timer	pause timer	[IN:PAUSE_TIMER pause [SL:METHOD_TIMER timer ] ]
timer	turn off timer	[IN:PAUSE_TIMER turn off [SL:METHOD_TIMER timer ] ]
timer	How much longer is left on the timer?	[IN:GET_TIMER How much longer is left on the [SL:METHOD_TIMER timer ] ? ]
timer	Set the timer for the next 15 minutes	[IN:CREATE_TIMER Set the [SL:METHOD_TIMER timer ] [SL:DATE_TIME for the next 15 minutes ] ]
timer	set timer for 45 minutes	[IN:CREATE_TIMER set [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 45 minutes ] ]
timer	Cancel Timer	[IN:DELETE_TIMER Cancel [SL:METHOD_TIMER Timer ] ]
timer	How much time still left on my timer?	[IN:GET_TIMER How much time still left on my [SL:METHOD_TIMER timer ] ? ]
timer	Add 15 minutes to timer	[IN:ADD_TIME_TIMER Add [SL:DATE_TIME 15 minutes ] to [SL:METHOD_TIMER timer ] ]
timer	please set a time for 2 hours	[IN:CREATE_TIMER please set a time [SL:DATE_TIME for 2 hours ] ]
timer	restart timer again	[IN:RESTART_TIMER restart [SL:METHOD_TIMER timer ] again ]
timer	How much time on my 1 hour timer	[IN:GET_TIMER How much time on my [SL:TIMER_NAME [IN:GET_TIME [SL:DATE_TIME 1 hour ] ] ] [SL:METHOD_TIMER timer ] ]
timer	start a timer	[IN:CREATE_TIMER start a [SL:METHOD_TIMER timer ] ]
timer	Add 10 minutes to my timer	[IN:ADD_TIME_TIMER Add [SL:DATE_TIME 10 minutes ] to my [SL:METHOD_TIMER timer ] ]
timer	Stop timer.	[IN:PAUSE_TIMER Stop [SL:METHOD_TIMER timer ] . ]
timer	Stop timer	[IN:PAUSE_TIMER Stop [SL:METHOD_TIMER timer ] ]
timer	Please stop the timer.	[IN:PAUSE_TIMER Please stop the [SL:METHOD_TIMER timer ] . ]
timer	Add 15 minutes to my timer and then set an alarm.	[IN:ADD_TIME_TIMER Add [SL:DATE_TIME 15 minutes ] to my [SL:METHOD_TIMER timer ] and then set an alarm . ]
timer	How long does the times have left?	[IN:GET_TIMER How long does the [SL:METHOD_TIMER times ] have left ? ]
timer	delete current timer	[IN:DELETE_TIMER delete current [SL:METHOD_TIMER timer ] ]
timer	Set a timer for 30 minutes.	[IN:CREATE_TIMER Set a [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 30 minutes ] . ]
timer	add 3 minutes to my timer	[IN:ADD_TIME_TIMER add [SL:DATE_TIME 3 minutes ] to my [SL:METHOD_TIMER timer ] ]
timer	start timer	[IN:CREATE_TIMER start [SL:METHOD_TIMER timer ] ]
timer	shut timer off and reset for 5 minutes	[IN:PAUSE_TIMER shut [SL:METHOD_TIMER timer ] off and reset for 5 minutes ]
timer	restart the timer	[IN:RESTART_TIMER restart the [SL:METHOD_TIMER timer ] ]
timer	Delete timer	[IN:DELETE_TIMER Delete [SL:METHOD_TIMER timer ] ]
timer	Please pause my timer	[IN:PAUSE_TIMER Please pause my [SL:METHOD_TIMER timer ] ]
timer	Add 3 minutes to the timer.	[IN:ADD_TIME_TIMER Add [SL:DATE_TIME 3 minutes ] to the [SL:METHOD_TIMER timer ] . ]
timer	turn on timer	[IN:CREATE_TIMER turn on [SL:METHOD_TIMER timer ] ]
timer	Set the timer to go off in 25 minutes from now	[IN:CREATE_TIMER Set the [SL:METHOD_TIMER timer ] to go off in 25 minutes from now ]
timer	set timer for 23 minutes	[IN:CREATE_TIMER set [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 23 minutes ] ]
timer	resume the timer	[IN:RESUME_TIMER resume the [SL:METHOD_TIMER timer ] ]
timer	How far along is my timer?	[IN:GET_TIMER How far along is my [SL:METHOD_TIMER timer ] ? ]
timer	how long is there left on the timer?	[IN:GET_TIMER how long is there left on the [SL:METHOD_TIMER timer ] ? ]
timer	how much time is left?	[IN:GET_TIMER how much [SL:METHOD_TIMER time ] is left ? ]
timer	please start timer now	[IN:CREATE_TIMER please start [SL:METHOD_TIMER timer ] now ]
timer	cancel timer	[IN:DELETE_TIMER cancel [SL:METHOD_TIMER timer ] ]
timer	Set a timer to exercise for 60 minutes.	[IN:CREATE_TIMER Set a [SL:METHOD_TIMER timer ] to exercise [SL:DATE_TIME for 60 minutes ] . ]
timer	pause current timer	[IN:PAUSE_TIMER pause current [SL:METHOD_TIMER timer ] ]
timer	set timer for 20 minutes	[IN:CREATE_TIMER set [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 20 minutes ] ]
timer	timer start now	[IN:CREATE_TIMER [SL:METHOD_TIMER timer ] start now ]
timer	How much time is left on the timer for the time out?	[IN:GET_TIMER How much time is left on the [SL:METHOD_TIMER timer ] for the [SL:METHOD_TIMER time out ] ? ]
timer	Resume timer	[IN:RESUME_TIMER Resume [SL:METHOD_TIMER timer ] ]
timer	set a timer to go off at 5 minutes past the hour	[IN:CREATE_TIMER set a [SL:METHOD_TIMER timer ] to go off [SL:DATE_TIME at 5 minutes past the hour ] ]
timer	i want a timer set for one minute	[IN:CREATE_TIMER i want a [SL:METHOD_TIMER timer ] set [SL:DATE_TIME for one minute ] ]
timer	set timer for 30 minutes	[IN:CREATE_TIMER set [SL:METHOD_TIMER timer ] [SL:DATE_TIME for 30 minutes ] ]
timer	Pause my timer.	[IN:PAUSE_TIMER Pause my [SL:METHOD_TIMER timer ] . ]
